iter	RMSE
0	0.857817537
1	0.8443907978
2	0.8303043588
3	0.8164301201
4	0.8024676755
5	0.7889619829
6	0.7764939975
7	0.7627497503
8	0.7499889452
9	0.7378301864
10	0.7254842548
11	0.7137181196
12	0.7038133695
13	0.693204132
14	0.682300753
15	0.6713760368
16	0.6614450084
17	0.65193013
18	0.6417842027
19	0.6326924724
20	0.624310841
21	0.6168045077
22	0.6081862737
23	0.5997848364
24	0.592040698
25	0.5839095394
26	0.5770429162
27	0.5689896494
28	0.5609193891
29	0.5527156832
30	0.5450175385
31	0.5383121202
32	0.5315486216
33	0.524955009
34	0.5170430241
35	0.5089111215
36	0.5016603343
37	0.4949629342
38	0.4876283782
39	0.4811845989
40	0.4749657673
41	0.4684572742
42	0.4631259054
43	0.4576518979
44	0.4516696267
45	0.4462376043
46	0.4409987291
47	0.4361297331
48	0.4308985655
49	0.4258304195
50	0.420939071
51	0.416150294
52	0.411347763
53	0.4062673664
54	0.4023651958
55	0.3981502939
56	0.3940494649
57	0.3897256322
58	0.386227415
59	0.3819496029
60	0.378967553
61	0.3751438682
62	0.3718634361
63	0.3685687047
64	0.365288991
65	0.3618535787
66	0.3591581346
67	0.3561853154
68	0.3529022455
69	0.3504001842
70	0.3480412361
71	0.3452931187
72	0.3426688481
73	0.3402571638
74	0.3371398763
75	0.3345254536
76	0.3320537628
77	0.3298197353
78	0.3274456385
79	0.3254245838
80	0.3235283751
81	0.3215627629
82	0.3192464366
83	0.3174125063
84	0.31567628
85	0.3141791933
86	0.3119698903
87	0.3098844343
88	0.30767056
89	0.3062238937
90	0.3050040785
91	0.3036121938
92	0.3019730102
93	0.3003023257
94	0.2990459118
95	0.2977467495
96	0.2961600631
97	0.2944169146
98	0.2931350081
99	0.2917434724
100	0.2903555
101	0.2890769804
102	0.2880337607
103	0.2864799575
104	0.2851785055
105	0.2840690047
106	0.282998946
107	0.2818792
108	0.2807435528
109	0.2794911797
110	0.278229844
111	0.2772441647
112	0.2761083409
113	0.2751572081
114	0.2739039786
115	0.2728460263
116	0.2719258129
117	0.2712851108
118	0.2702981868
119	0.2692954188
120	0.268579156
121	0.2682026019
122	0.2675313361
123	0.2664370761
124	0.2656300063
125	0.2652437811
126	0.2646367501
127	0.2640943377
128	0.2634291038
129	0.2622275173
130	0.2612540669
131	0.2606077094
132	0.2599158064
133	0.2591301944
134	0.2585685719
135	0.2579502892
136	0.257322023
137	0.2567569399
138	0.2559166889
139	0.255252916
